"date","outlet","smooth_mean","smooth_lower","smooth_upper","smooth_neg_mean","smooth_neg_lower","smooth_neg_upper"
2024-12-30,"ABC News",-8.2696,-8.2696,-8.2696,13.4991,13.4991,13.4991
2024-12-30,"Bloomberg",-11.4104,-11.4104,-11.4104,22.9263,22.9263,22.9263
2024-12-30,"CBS News",-10.5574,-10.5574,-10.5574,13.9439,13.9439,13.9439
2024-12-30,"CNN",-9.6694,-9.6694,-9.6694,14.8455,14.8455,14.8455
2024-12-30,"Fox News",-2.4853,-2.4853,-2.4853,13.4318,13.4318,13.4318
2024-12-30,"Los Angeles Times",-18.1528,-18.1528,-18.1528,22.6136,22.6136,22.6136
2024-12-30,"NBC News",-8.6994,-8.6994,-8.6994,15.1451,15.1451,15.1451
2024-12-30,"NPR",-13.0961,-13.0961,-13.0961,17.1132,17.1132,17.1132
2024-12-30,"New York Times",-12.8744,-12.8744,-12.8744,19.0969,19.0969,19.0969
2024-12-30,"Reuters",-6.1962,-6.1962,-6.1962,17.0631,17.0631,17.0631
2024-12-30,"USA Today",-6.6686,-6.6686,-6.6686,13.7062,13.7062,13.7062
2025-01-06,"ABC News",-9.1099,-9.1099,-9.1099,14.3867,14.3867,14.3867
2025-01-06,"Bloomberg",-11.5779,-11.5779,-11.5779,22.777,22.777,22.777
2025-01-06,"CBS News",-10.9871,-10.9871,-10.9871,14.4079,14.4079,14.4079
2025-01-06,"CNN",-10.8859,-10.8859,-10.8859,16.04,16.04,16.04
2025-01-06,"Fox News",-2.6284,-2.6284,-2.6284,13.5913,13.5913,13.5913
2025-01-06,"Los Angeles Times",-18.6729,-18.6729,-18.6729,23.3434,23.3434,23.3434
2025-01-06,"NBC News",-9.8625,-9.8625,-9.8625,16.0153,16.0153,16.0153
2025-01-06,"NPR",-14.2375,-14.2375,-14.2375,18.3882,18.3882,18.3882
2025-01-06,"New York Times",-13.5062,-13.5062,-13.5062,19.9144,19.9144,19.9144
2025-01-06,"Reuters",-6.7144,-6.7144,-6.7144,17.3814,17.3814,17.3814
2025-01-06,"USA Today",-7.9289,-7.9289,-7.9289,14.8807,14.8807,14.8807
2025-01-13,"ABC News",-9.9077,-9.9077,-9.9077,15.2324,15.2324,15.2324
