"date","smooth_mean","smooth_lower","smooth_upper","smooth_neg_mean","smooth_neg_lower","smooth_neg_upper"
2024-12-30,-9.3294,-9.3294,-9.3294,16.5001,16.5001,16.5001
2025-01-06,-9.8776,-9.8776,-9.8776,17.1104,17.1104,17.1104
2025-01-13,-10.431,-10.431,-10.431,17.7091,17.7091,17.7091
2025-01-20,-10.9696,-10.9696,-10.9696,18.2845,18.2845,18.2845
2025-01-27,-11.5125,-11.5125,-11.5125,18.8476,18.8476,18.8476
2025-02-03,-12.0398,-12.0398,-12.0398,19.4132,19.4132,19.4132
2025-02-10,-12.5929,-12.5929,-12.5929,19.946,19.946,19.946
2025-02-17,-13.1973,-13.1973,-13.1973,20.4092,20.4092,20.4092
2025-02-24,-13.7184,-13.7184,-13.7184,20.7218,20.7218,20.7218
2025-03-03,-14.0806,-14.0806,-14.0806,20.9258,20.9258,20.9258
2025-03-10,-14.3749,-14.3749,-14.3749,21.1018,21.1018,21.1018
2025-03-17,-14.5604,-14.5604,-14.5604,21.2231,21.2231,21.2231
2025-03-24,-14.6226,-14.6226,-14.6226,21.2366,21.2366,21.2366
2025-03-31,-14.4752,-14.4752,-14.4752,21.16,21.16,21.16
2025-04-07,-14.1778,-14.1778,-14.1778,21.0291,21.0291,21.0291
2025-04-14,-13.7148,-13.7148,-13.7148,20.7817,20.7817,20.7817
2025-04-21,-13.3237,-13.3237,-13.3237,20.6342,20.6342,20.6342
2025-04-28,-12.9463,-12.9463,-12.9463,20.4277,20.4277,20.4277
2025-05-05,-12.4712,-12.4712,-12.4712,20.0417,20.0417,20.0417
2025-05-12,-12.0819,-12.0819,-12.0819,19.6798,19.6798,19.6798
2025-05-19,-11.6739,-11.6739,-11.6739,19.3375,19.3375,19.3375
2025-05-26,-11.3925,-11.3925,-11.3925,19.1313,19.1313,19.1313
2025-06-02,-11.1623,-11.1623,-11.1623,19.007,19.007,19.007
2025-06-09,-11.0927,-11.0927,-11.0927,18.9777,18.9777,18.9777
2025-06-16,-11.009,-11.009,-11.009,18.9662,18.9662,18.9662
2025-06-23,-10.8421,-10.8421,-10.8421,18.8578,18.8578,18.8578
2025-06-30,-10.7065,-10.7065,-10.7065,18.7492,18.7492,18.7492
2025-07-07,-10.5441,-10.5441,-10.5441,18.617,18.617,18.617
2025-07-14,-10.3606,-10.3606,-10.3606,18.3692,18.3692,18.3692
2025-07-21,-10.2452,-10.2452,-10.2452,18.1262,18.1262,18.1262
2025-07-28,-10.2305,-10.2305,-10.2305,17.9029,17.9029,17.9029
2025-08-04,-10.2943,-10.2943,-10.2943,17.7212,17.7212,17.7212
2025-08-11,-10.2953,-10.2953,-10.2953,17.4494,17.4494,17.4494
2025-08-18,-10.3588,-10.3588,-10.3588,17.2356,17.2356,17.2356
2025-08-25,-10.3917,-10.3917,-10.3917,17.0562,17.0562,17.0562
2025-09-01,-10.4127,-10.4127,-10.4127,16.937,16.937,16.937
2025-09-08,-10.4882,-10.4882,-10.4882,16.9148,16.9148,16.9148
2025-09-15,-10.4304,-10.4304,-10.4304,16.8632,16.8632,16.8632
2025-09-22,-10.2879,-10.2879,-10.2879,16.8211,16.8211,16.8211
2025-09-29,-10.029,-10.029,-10.029,16.7329,16.7329,16.7329
2025-10-06,-9.8179,-9.8179,-9.8179,16.7099,16.7099,16.7099
2025-10-13,-9.7053,-9.7053,-9.7053,16.707,16.707,16.707
2025-10-20,-9.7303,-9.7303,-9.7303,16.7162,16.7162,16.7162
2025-10-27,-9.7179,-9.7179,-9.7179,16.7179,16.7179,16.7179
2025-11-03,-9.7716,-9.7716,-9.7716,16.6979,16.6979,16.6979
2025-11-10,-9.842,-9.842,-9.842,16.6743,16.6743,16.6743
2025-11-17,-9.8621,-9.8621,-9.8621,16.6069,16.6069,16.6069
2025-11-24,-9.8349,-9.8349,-9.8349,16.4573,16.4573,16.4573
2025-12-01,-9.7548,-9.7548,-9.7548,16.2804,16.2804,16.2804
2025-12-08,-9.6005,-9.6005,-9.6005,16.1176,16.1176,16.1176
2025-12-15,-9.4935,-9.4935,-9.4935,16.0796,16.0796,16.0796
2025-12-22,-9.5111,-9.5111,-9.5111,16.1335,16.1335,16.1335
2025-12-29,-9.5233,-9.5233,-9.5233,16.1616,16.1616,16.1616
2026-01-05,-9.6799,-9.6799,-9.6799,16.2902,16.2902,16.2902
2026-01-12,-9.8889,-9.8889,-9.8889,16.4431,16.4431,16.4431
2026-01-19,-10.1627,-10.1627,-10.1627,16.6599,16.6599,16.6599
2026-01-26,-10.4837,-10.4837,-10.4837,16.9632,16.9632,16.9632
2026-02-02,-10.7944,-10.7944,-10.7944,17.2638,17.2638,17.2638
2026-02-09,-11.0224,-11.0224,-11.0224,17.5224,17.5224,17.5224
2026-02-16,-11.2422,-11.2422,-11.2422,17.7854,17.7854,17.7854
2026-02-23,-11.4813,-11.4813,-11.4813,18.0876,18.0876,18.0876
2026-03-02,-11.6599,-11.6599,-11.6599,18.3458,18.3458,18.3458
2026-03-09,-11.8482,-11.8482,-11.8482,18.6071,18.6071,18.6071
2026-03-16,-11.925,-11.925,-11.925,18.7049,18.7049,18.7049
2026-03-23,-11.9143,-11.9143,-11.9143,18.6505,18.6505,18.6505
2026-03-30,-11.7174,-11.7174,-11.7174,18.3702,18.3702,18.3702
2026-04-06,-11.3996,-11.3996,-11.3996,17.9564,17.9564,17.9564
2026-04-13,-11.1175,-11.1175,-11.1175,17.6087,17.6087,17.6087
2026-04-20,-10.7969,-10.7969,-10.7969,17.2234,17.2234,17.2234
2026-04-27,-10.4496,-10.4496,-10.4496,16.802,16.802,16.802
2026-05-04,-10.0562,-10.0562,-10.0562,16.3344,16.3344,16.3344
