"date","network","smooth_mean","smooth_lower","smooth_upper","smooth_neg_mean","smooth_neg_lower","smooth_neg_upper"
2024-12-30,"ABC",-7.5342,-7.5342,-7.5342,16.6772,16.6772,16.6772
2024-12-30,"CBS",-6.9686,-6.9686,-6.9686,15.669,15.669,15.669
2024-12-30,"CNN",-9.6091,-9.6091,-9.6091,21.6656,21.6656,21.6656
2024-12-30,"Fox",4.4973,4.4973,4.4973,14.6438,14.6438,14.6438
2024-12-30,"MSNBC/MSNow",-14.4965,-14.4965,-14.4965,23.2497,23.2497,23.2497
2024-12-30,"NBC",-3.5743,-3.5743,-3.5743,12.5653,12.5653,12.5653
2025-01-06,"ABC",-8.0324,-8.0324,-8.0324,17.081,17.081,17.081
2025-01-06,"CBS",-7.9903,-7.9903,-7.9903,16.8866,16.8866,16.8866
2025-01-06,"CNN",-10.7103,-10.7103,-10.7103,22.4231,22.4231,22.4231
2025-01-06,"Fox",4.1808,4.1808,4.1808,15.104,15.104,15.104
2025-01-06,"MSNBC/MSNow",-15.661,-15.661,-15.661,24.3341,24.3341,24.3341
2025-01-06,"NBC",-5.0746,-5.0746,-5.0746,14.3223,14.3223,14.3223
2025-01-13,"ABC",-8.5885,-8.5885,-8.5885,17.5393,17.5393,17.5393
2025-01-13,"CBS",-9.0328,-9.0328,-9.0328,18.0768,18.0768,18.0768
2025-01-13,"CNN",-11.8259,-11.8259,-11.8259,23.2177,23.2177,23.2177
2025-01-13,"Fox",3.8042,3.8042,3.8042,15.6168,15.6168,15.6168
2025-01-13,"MSNBC/MSNow",-16.7844,-16.7844,-16.7844,25.3864,25.3864,25.3864
2025-01-13,"NBC",-6.476,-6.476,-6.476,16.0161,16.0161,16.0161
2025-01-20,"ABC",-9.1166,-9.1166,-9.1166,18.0014,18.0014,18.0014
2025-01-20,"CBS",-10.0287,-10.0287,-10.0287,19.2322,19.2322,19.2322
2025-01-20,"CNN",-12.9339,-12.9339,-12.9339,24.0044,24.0044,24.0044
2025-01-20,"Fox",3.4115,3.4115,3.4115,16.1359,16.1359,16.1359
2025-01-20,"MSNBC/MSNow",-17.8977,-17.8977,-17.8977,26.4297,26.4297,26.4297
2025-01-20,"NBC",-7.763,-7.763,-7.763,17.6352,17.6352,17.6352
2025-01-27,"ABC",-9.7113,-9.7113,-9.7113,18.5088,18.5088,18.5088
2025-01-27,"CBS",-11.0526,-11.0526,-11.0526,20.362,20.362,20.362
2025-01-27,"CNN",-14.048,-14.048,-14.048,24.8196,24.8196,24.8196
2025-01-27,"Fox",2.9798,2.9798,2.9798,16.693,16.693,16.693
2025-01-27,"MSNBC/MSNow",-18.9821,-18.9821,-18.9821,27.4461,27.4461,27.4461
2025-01-27,"NBC",-8.9775,-8.9775,-8.9775,19.194,19.194,19.194
2025-02-03,"ABC",-10.3051,-10.3051,-10.3051,18.9609,18.9609,18.9609
2025-02-03,"CBS",-12.0446,-12.0446,-12.0446,21.5064,21.5064,21.5064
2025-02-03,"CNN",-15.1381,-15.1381,-15.1381,25.5948,25.5948,25.5948
2025-02-03,"Fox",2.629,2.629,2.629,17.1832,17.1832,17.1832
2025-02-03,"MSNBC/MSNow",-20.11,-20.11,-20.11,28.4796,28.4796,28.4796
2025-02-03,"NBC",-10.2651,-10.2651,-10.2651,20.7602,20.7602,20.7602
2025-02-10,"ABC",-11.0921,-11.0921,-11.0921,19.5611,19.5611,19.5611
2025-02-10,"CBS",-13.1326,-13.1326,-13.1326,22.5654,22.5654,22.5654
2025-02-10,"CNN",-16.258,-16.258,-16.258,26.4714,26.4714,26.4714
2025-02-10,"Fox",2.1062,2.1062,2.1062,17.8299,17.8299,17.8299
2025-02-10,"MSNBC/MSNow",-21.1435,-21.1435,-21.1435,29.4316,29.4316,29.4316
2025-02-10,"NBC",-11.3459,-11.3459,-11.3459,22.1583,22.1583,22.1583
2025-02-17,"ABC",-12.1616,-12.1616,-12.1616,20.3324,20.3324,20.3324
2025-02-17,"CBS",-14.3689,-14.3689,-14.3689,23.329,23.329,23.329
2025-02-17,"CNN",-17.2233,-17.2233,-17.2233,27.3188,27.3188,27.3188
2025-02-17,"Fox",1.2733,1.2733,1.2733,18.6558,18.6558,18.6558
2025-02-17,"MSNBC/MSNow",-22.0127,-22.0127,-22.0127,30.2537,30.2537,30.2537
2025-02-17,"NBC",-12.392,-12.392,-12.392,23.221,23.221,23.221
2025-02-24,"ABC",-13.0558,-13.0558,-13.0558,20.9887,20.9887,20.9887
2025-02-24,"CBS",-15.3383,-15.3383,-15.3383,23.7941,23.7941,23.7941
2025-02-24,"CNN",-17.9506,-17.9506,-17.9506,27.9361,27.9361,27.9361
2025-02-24,"Fox",0.4181,0.4181,0.4181,19.3842,19.3842,19.3842
2025-02-24,"MSNBC/MSNow",-22.8699,-22.8699,-22.8699,31.0554,31.0554,31.0554
2025-02-24,"NBC",-13.1535,-13.1535,-13.1535,23.8568,23.8568,23.8568
2025-03-03,"ABC",-13.665,-13.665,-13.665,21.5936,21.5936,21.5936
2025-03-03,"CBS",-16.0991,-16.0991,-16.0991,24.2993,24.2993,24.2993
2025-03-03,"CNN",-18.4903,-18.4903,-18.4903,28.4847,28.4847,28.4847
2025-03-03,"Fox",-0.2346,-0.2346,-0.2346,19.9898,19.9898,19.9898
2025-03-03,"MSNBC/MSNow",-23.5525,-23.5525,-23.5525,31.7614,31.7614,31.7614
2025-03-03,"NBC",-13.1421,-13.1421,-13.1421,24.0381,24.0381,24.0381
2025-03-10,"ABC",-14.0021,-14.0021,-14.0021,21.9134,21.9134,21.9134
2025-03-10,"CBS",-16.7776,-16.7776,-16.7776,24.8327,24.8327,24.8327
2025-03-10,"CNN",-18.7528,-18.7528,-18.7528,28.8109,28.8109,28.8109
2025-03-10,"Fox",-0.7242,-0.7242,-0.7242,20.4179,20.4179,20.4179
2025-03-10,"MSNBC/MSNow",-24.1858,-24.1858,-24.1858,32.4292,32.4292,32.4292
2025-03-10,"NBC",-13.0931,-13.0931,-13.0931,23.9759,23.9759,23.9759
2025-03-17,"ABC",-14.2568,-14.2568,-14.2568,22.0464,22.0464,22.0464
2025-03-17,"CBS",-17.4185,-17.4185,-17.4185,25.3552,25.3552,25.3552
2025-03-17,"CNN",-19.0529,-19.0529,-19.0529,29.1241,29.1241,29.1241
2025-03-17,"Fox",-1.3789,-1.3789,-1.3789,20.9251,20.9251,20.9251
2025-03-17,"MSNBC/MSNow",-24.7623,-24.7623,-24.7623,32.9881,32.9881,32.9881
2025-03-17,"NBC",-13.3198,-13.3198,-13.3198,23.9818,23.9818,23.9818
2025-03-24,"ABC",-14.4634,-14.4634,-14.4634,22.0118,22.0118,22.0118
2025-03-24,"CBS",-17.7045,-17.7045,-17.7045,25.5873,25.5873,25.5873
2025-03-24,"CNN",-19.1439,-19.1439,-19.1439,29.2447,29.2447,29.2447
2025-03-24,"Fox",-2.0035,-2.0035,-2.0035,21.3815,21.3815,21.3815
2025-03-24,"MSNBC/MSNow",-25.2223,-25.2223,-25.2223,33.4676,33.4676,33.4676
2025-03-24,"NBC",-13.9769,-13.9769,-13.9769,24.1087,24.1087,24.1087
2025-03-31,"ABC",-14.5727,-14.5727,-14.5727,21.8872,21.8872,21.8872
2025-03-31,"CBS",-17.7097,-17.7097,-17.7097,25.725,25.725,25.725
2025-03-31,"CNN",-19.1237,-19.1237,-19.1237,29.3068,29.3068,29.3068
2025-03-31,"Fox",-2.4522,-2.4522,-2.4522,21.76,21.76,21.76
2025-03-31,"MSNBC/MSNow",-25.4541,-25.4541,-25.4541,33.7692,33.7692,33.7692
2025-03-31,"NBC",-14.6996,-14.6996,-14.6996,24.3605,24.3605,24.3605
2025-04-07,"ABC",-14.3364,-14.3364,-14.3364,21.5044,21.5044,21.5044
2025-04-07,"CBS",-17.472,-17.472,-17.472,25.6947,25.6947,25.6947
2025-04-07,"CNN",-18.6099,-18.6099,-18.6099,29.0327,29.0327,29.0327
2025-04-07,"Fox",-2.2998,-2.2998,-2.2998,21.7101,21.7101,21.7101
2025-04-07,"MSNBC/MSNow",-25.5774,-25.5774,-25.5774,33.9633,33.9633,33.9633
2025-04-07,"NBC",-14.7247,-14.7247,-14.7247,24.1497,24.1497,24.1497
2025-04-14,"ABC",-13.9234,-13.9234,-13.9234,20.9529,20.9529,20.9529
2025-04-14,"CBS",-16.9324,-16.9324,-16.9324,25.4029,25.4029,25.4029
2025-04-14,"CNN",-17.9278,-17.9278,-17.9278,28.6303,28.6303,28.6303
2025-04-14,"Fox",-1.8505,-1.8505,-1.8505,21.4934,21.4934,21.4934
2025-04-14,"MSNBC/MSNow",-25.5778,-25.5778,-25.5778,33.9662,33.9662,33.9662
2025-04-14,"NBC",-14.1491,-14.1491,-14.1491,23.6677,23.6677,23.6677
2025-04-21,"ABC",-13.6583,-13.6583,-13.6583,20.528,20.528,20.528
2025-04-21,"CBS",-16.2874,-16.2874,-16.2874,25.1222,25.1222,25.1222
2025-04-21,"CNN",-17.4441,-17.4441,-17.4441,28.3221,28.3221,28.3221
2025-04-21,"Fox",-1.5947,-1.5947,-1.5947,21.3445,21.3445,21.3445
2025-04-21,"MSNBC/MSNow",-25.4696,-25.4696,-25.4696,33.8745,33.8745,33.8745
2025-04-21,"NBC",-13.5558,-13.5558,-13.5558,23.244,23.244,23.244
2025-04-28,"ABC",-13.5387,-13.5387,-13.5387,20.1843,20.1843,20.1843
2025-04-28,"CBS",-15.3444,-15.3444,-15.3444,24.402,24.402,24.402
2025-04-28,"CNN",-16.8949,-16.8949,-16.8949,27.8714,27.8714,27.8714
2025-04-28,"Fox",-1.3667,-1.3667,-1.3667,21.1031,21.1031,21.1031
2025-04-28,"MSNBC/MSNow",-25.3548,-25.3548,-25.3548,33.7048,33.7048,33.7048
2025-04-28,"NBC",-12.7896,-12.7896,-12.7896,22.6813,22.6813,22.6813
2025-05-05,"ABC",-13.6231,-13.6231,-13.6231,19.8777,19.8777,19.8777
2025-05-05,"CBS",-14.4089,-14.4089,-14.4089,23.3988,23.3988,23.3988
2025-05-05,"CNN",-16.4135,-16.4135,-16.4135,27.2991,27.2991,27.2991
2025-05-05,"Fox",-1.3802,-1.3802,-1.3802,20.9209,20.9209,20.9209
2025-05-05,"MSNBC/MSNow",-25.1351,-25.1351,-25.1351,33.3792,33.3792,33.3792
2025-05-05,"NBC",-12.5687,-12.5687,-12.5687,22.4997,22.4997,22.4997
2025-05-12,"ABC",-13.854,-13.854,-13.854,19.6547,19.6547,19.6547
2025-05-12,"CBS",-13.5461,-13.5461,-13.5461,22.335,22.335,22.335
2025-05-12,"CNN",-15.8724,-15.8724,-15.8724,26.5771,26.5771,26.5771
2025-05-12,"Fox",-1.4384,-1.4384,-1.4384,20.6214,20.6214,20.6214
2025-05-12,"MSNBC/MSNow",-24.8824,-24.8824,-24.8824,33.021,33.021,33.021
2025-05-12,"NBC",-12.4362,-12.4362,-12.4362,22.3442,22.3442,22.3442
