"date","smooth_mean","smooth_lower","smooth_upper","smooth_neg_mean","smooth_neg_lower","smooth_neg_upper"
2024-12-30,-6.9623,-6.9623,-6.9623,19.835,19.835,19.835
2025-01-06,-8.11,-8.11,-8.11,20.7083,20.7083,20.7083
2025-01-13,-9.2407,-9.2407,-9.2407,21.589,21.589,21.589
2025-01-20,-10.3555,-10.3555,-10.3555,22.4593,22.4593,22.4593
2025-01-27,-11.4533,-11.4533,-11.4533,23.3293,23.3293,23.3293
2025-02-03,-12.558,-12.558,-12.558,24.1715,24.1715,24.1715
2025-02-10,-13.6184,-13.6184,-13.6184,25.0282,25.0282,25.0282
2025-02-17,-14.5188,-14.5188,-14.5188,25.8178,25.8178,25.8178
2025-02-24,-15.2724,-15.2724,-15.2724,26.4616,26.4616,26.4616
2025-03-03,-15.8418,-15.8418,-15.8418,27.0422,27.0422,27.0422
2025-03-10,-16.2804,-16.2804,-16.2804,27.5097,27.5097,27.5097
2025-03-17,-16.7318,-16.7318,-16.7318,27.9587,27.9587,27.9587
2025-03-24,-17.0549,-17.0549,-17.0549,28.323,28.323,28.323
2025-03-31,-17.2143,-17.2143,-17.2143,28.6277,28.6277,28.6277
2025-04-07,-17.0156,-17.0156,-17.0156,28.6386,28.6386,28.6386
2025-04-14,-16.6257,-16.6257,-16.6257,28.4538,28.4538,28.4538
2025-04-21,-16.4217,-16.4217,-16.4217,28.3146,28.3146,28.3146
2025-04-28,-16.2354,-16.2354,-16.2354,28.036,28.036,28.036
2025-05-05,-16.0412,-16.0412,-16.0412,27.665,27.665,27.665
2025-05-12,-15.8702,-15.8702,-15.8702,27.1945,27.1945,27.1945
2025-05-19,-15.4674,-15.4674,-15.4674,26.6043,26.6043,26.6043
2025-05-26,-15.0735,-15.0735,-15.0735,26.034,26.034,26.034
2025-06-02,-14.6909,-14.6909,-14.6909,25.609,25.609,25.609
2025-06-09,-14.6892,-14.6892,-14.6892,25.4013,25.4013,25.4013
2025-06-16,-14.7296,-14.7296,-14.7296,25.2792,25.2792,25.2792
2025-06-23,-14.7282,-14.7282,-14.7282,25.1922,25.1922,25.1922
2025-06-30,-14.9008,-14.9008,-14.9008,25.2635,25.2635,25.2635
2025-07-07,-14.9339,-14.9339,-14.9339,25.4195,25.4195,25.4195
2025-07-14,-15.0879,-15.0879,-15.0879,25.6279,25.6279,25.6279
2025-07-21,-15.3853,-15.3853,-15.3853,25.8902,25.8902,25.8902
2025-07-28,-15.8049,-15.8049,-15.8049,26.1271,26.1271,26.1271
2025-08-04,-16.0666,-16.0666,-16.0666,26.3061,26.3061,26.3061
2025-08-11,-16.0822,-16.0822,-16.0822,26.2549,26.2549,26.2549
2025-08-18,-15.972,-15.972,-15.972,26.0041,26.0041,26.0041
2025-08-25,-15.858,-15.858,-15.858,25.813,25.813,25.813
2025-09-01,-15.7619,-15.7619,-15.7619,25.5692,25.5692,25.5692
2025-09-08,-15.6865,-15.6865,-15.6865,25.3335,25.3335,25.3335
2025-09-15,-15.6561,-15.6561,-15.6561,25.1635,25.1635,25.1635
2025-09-22,-15.7363,-15.7363,-15.7363,25.1273,25.1273,25.1273
2025-09-29,-15.8808,-15.8808,-15.8808,25.2055,25.2055,25.2055
2025-10-06,-16.1765,-16.1765,-16.1765,25.5681,25.5681,25.5681
2025-10-13,-16.5247,-16.5247,-16.5247,26.0504,26.0504,26.0504
2025-10-20,-16.8744,-16.8744,-16.8744,26.5046,26.5046,26.5046
2025-10-27,-17.2068,-17.2068,-17.2068,27.0031,27.0031,27.0031
2025-11-03,-17.5999,-17.5999,-17.5999,27.4923,27.4923,27.4923
2025-11-10,-18.1074,-18.1074,-18.1074,28.0263,28.0263,28.0263
2025-11-17,-18.5896,-18.5896,-18.5896,28.4923,28.4923,28.4923
2025-11-24,-18.8459,-18.8459,-18.8459,28.7214,28.7214,28.7214
2025-12-01,-19.056,-19.056,-19.056,28.8615,28.8615,28.8615
2025-12-08,-19.1777,-19.1777,-19.1777,28.9389,28.9389,28.9389
2025-12-15,-19.446,-19.446,-19.446,29.1494,29.1494,29.1494
2025-12-22,-19.7594,-19.7594,-19.7594,29.3461,29.3461,29.3461
2025-12-29,-20.0225,-20.0225,-20.0225,29.4756,29.4756,29.4756
2026-01-05,-20.3772,-20.3772,-20.3772,29.661,29.661,29.661
2026-01-12,-20.6531,-20.6531,-20.6531,29.7948,29.7948,29.7948
2026-01-19,-20.9994,-20.9994,-20.9994,30.0003,30.0003,30.0003
2026-01-26,-21.3754,-21.3754,-21.3754,30.1783,30.1783,30.1783
