"basket","pres","term_start","month","months_in","pci","pci_se","pci_lo","pci_hi","pci_raw","pci_smooth","pci_smooth_lo","pci_smooth_hi","n_outlets","n_headlines"
"full","Biden",2021-01-20,2021-01-01,0,-19.72,2.71,-25.03,-14.4,2.32,-16.02,-25.86,-6.18,17,454
"full","Biden",2021-01-20,2021-02-01,1,-11.42,4.2,-19.64,-3.2,-9.28,-12.22,-19.24,-5.19,14,447
"full","Biden",2021-01-20,2021-03-01,2,-6.27,4.2,-14.5,1.95,-4.46,-9.17,-14.83,-3.5,14,420
"full","Biden",2021-01-20,2021-04-01,3,3,4.2,-5.22,11.22,5.14,-6.9,-13.12,-0.68,14,512
"full","Biden",2021-01-20,2021-05-01,4,-13.33,4.2,-21.56,-5.11,-12.71,-8.91,-15.13,-2.69,14,357
"full","Biden",2021-01-20,2021-06-01,5,-15.94,4.2,-24.16,-7.72,-13.8,-13.99,-20.21,-7.77,14,358
"full","Biden",2021-01-20,2021-07-01,6,-11.35,4.2,-19.58,-3.13,-9.21,-20.07,-26.29,-13.86,14,343
"full","Biden",2021-01-20,2021-08-01,7,-33.82,4.52,-42.67,-24.97,-31.85,-23.05,-29.27,-16.84,12,327
"full","Biden",2021-01-20,2021-09-01,8,-27.23,4.35,-35.75,-18.71,-25.3,-24.46,-30.67,-18.24,13,359
"full","Biden",2021-01-20,2021-10-01,9,-18.55,4.52,-27.41,-9.7,-18.24,-22.91,-29.13,-16.7,12,288
"full","Biden",2021-01-20,2021-11-01,10,-20.75,4.2,-28.97,-12.52,-18.6,-21.15,-27.37,-14.94,14,301
"full","Biden",2021-01-20,2021-12-01,11,-19.01,4.35,-27.53,-10.49,-18.71,-21.5,-27.72,-15.28,13,276
"full","Biden",2021-01-20,2022-01-01,12,-28.4,4.2,-36.62,-20.17,-26.26,-20.29,-26.5,-14.07,14,291
"full","Biden",2021-01-20,2022-02-01,13,-15.84,4.51,-24.69,-6.99,-13.95,-18.14,-24.35,-11.92,12,227
"full","Biden",2021-01-20,2022-03-01,14,-11.2,4.35,-19.71,-2.68,-9.06,-15.79,-22,-9.57,13,320
"full","Biden",2021-01-20,2022-04-01,15,-15.32,4.51,-24.17,-6.47,-13.57,-15.74,-21.95,-9.52,12,202
"full","Biden",2021-01-20,2022-05-01,16,-17.39,4.71,-26.62,-8.17,-15.52,-18.43,-24.65,-12.22,11,237
"full","Biden",2021-01-20,2022-06-01,17,-24.21,4.95,-33.91,-14.52,-21.86,-19.99,-26.21,-13.77,10,230
"full","Biden",2021-01-20,2022-07-01,18,-21.84,4.95,-31.53,-12.15,-19.49,-19.43,-25.65,-13.22,10,304
"full","Biden",2021-01-20,2022-08-01,19,-14.46,4.51,-23.3,-5.61,-12.56,-18.04,-24.25,-11.82,12,229
"full","Biden",2021-01-20,2022-09-01,20,-15.07,4.36,-23.62,-6.52,-12.55,-16.61,-22.82,-10.39,13,243
"full","Biden",2021-01-20,2022-10-01,21,-19.97,4.71,-29.2,-10.74,-17.99,-14.48,-20.7,-8.27,11,196
"full","Biden",2021-01-20,2022-11-01,22,-12.67,4.93,-22.32,-3.01,-10.71,-12.26,-18.48,-6.04,10,210
"full","Biden",2021-01-20,2022-12-01,23,-1.92,5.2,-12.12,8.28,0.39,-10.06,-16.28,-3.84,9,150
"full","Biden",2021-01-20,2023-01-01,24,-15.02,4.72,-24.28,-5.76,-12.68,-9.03,-15.25,-2.82,11,271
"full","Biden",2021-01-20,2023-02-01,25,-4.09,4.35,-12.61,4.42,-1.9,-11.48,-17.7,-5.27,13,308
"full","Biden",2021-01-20,2023-03-01,26,-19.12,4.51,-27.97,-10.27,-17.21,-14.09,-20.31,-7.87,12,272
"full","Biden",2021-01-20,2023-04-01,27,-13.64,4.52,-22.49,-4.79,-11.74,-15.92,-22.14,-9.7,12,220
"full","Biden",2021-01-20,2023-05-01,28,-25.48,5.2,-35.67,-15.28,-23.17,-15.27,-21.48,-9.05,9,228
"full","Biden",2021-01-20,2023-06-01,29,-1.58,4.95,-11.28,8.11,0.73,-16.06,-22.28,-9.85,10,183
"full","Biden",2021-01-20,2023-07-01,30,-21.35,4.51,-30.2,-12.5,-19.44,-17.46,-23.68,-11.24,12,223
"full","Biden",2021-01-20,2023-08-01,31,-22.38,4.52,-31.23,-13.52,-20.19,-19.8,-26.02,-13.58,12,207
"full","Biden",2021-01-20,2023-09-01,32,-26.34,4.35,-34.85,-17.82,-24.2,-19.4,-25.62,-13.18,13,298
"full","Biden",2021-01-20,2023-10-01,33,-9.91,4.51,-18.76,-1.06,-8,-17.52,-23.73,-11.3,12,224
"full","Biden",2021-01-20,2023-11-01,34,-14.24,4.71,-23.47,-5.01,-12.42,-17.31,-23.53,-11.09,11,229
"full","Biden",2021-01-20,2023-12-01,35,-20.27,4.52,-29.12,-11.42,-18.12,-19.74,-25.96,-13.52,12,212
"full","Biden",2021-01-20,2024-01-01,36,-28.45,4.35,-36.97,-19.93,-26.3,-21.69,-27.91,-15.47,13,264
"full","Biden",2021-01-20,2024-02-01,37,-19.83,4.06,-27.79,-11.86,-17.61,-21.66,-27.88,-15.45,15,378
"full","Biden",2021-01-20,2024-03-01,38,-18.16,3.94,-25.89,-10.44,-15.92,-20.48,-26.7,-14.26,16,411
"full","Biden",2021-01-20,2024-04-01,39,-19.92,4.06,-27.88,-11.96,-17.71,-20.62,-26.84,-14.4,15,329
"full","Biden",2021-01-20,2024-05-01,40,-22.25,4.06,-30.2,-14.29,-19.87,-21.97,-28.19,-15.75,15,393
"full","Biden",2021-01-20,2024-06-01,41,-25.57,3.83,-33.08,-18.07,-23.33,-21.86,-28.08,-15.65,17,483
"full","Biden",2021-01-20,2024-07-01,42,-21.01,3.64,-28.14,-13.88,-19.47,-20.3,-26.52,-14.08,19,750
"full","Biden",2021-01-20,2024-08-01,43,-14.38,4.73,-23.64,-5.12,-11.46,-17.53,-23.74,-11.31,11,166
"full","Biden",2021-01-20,2024-09-01,44,-17.98,5.2,-28.18,-7.77,-15.19,-15.05,-21.27,-8.84,9,119
"full","Biden",2021-01-20,2024-10-01,45,-8.42,4.93,-18.08,1.24,-6.64,-15.94,-22.16,-9.72,10,126
"full","Biden",2021-01-20,2024-11-01,46,-19.43,4.71,-28.66,-10.21,-17.53,-17.42,-23.09,-11.76,11,137
"full","Biden",2021-01-20,2024-12-01,47,-24.91,4.2,-33.13,-16.68,-22.56,-18.57,-25.6,-11.55,14,230
"full","Biden",2021-01-20,2025-01-01,48,-15.55,2.94,-21.31,-9.78,-5.16,-19.89,-29.74,-10.03,13,180
"full","Bush 41",1989-01-20,1989-01-01,0,-1.52,2.7,-6.81,3.78,5.87,-7.08,-14.4,0.24,19,878
"full","Bush 41",1989-01-20,1989-02-01,1,-12.38,3.65,-19.54,-5.23,-9.95,-7.84,-13.07,-2.61,19,1614
"full","Bush 41",1989-01-20,1989-03-01,2,-14.51,3.65,-21.66,-7.36,-12.08,-8.35,-12.56,-4.13,19,1228
"full","Bush 41",1989-01-20,1989-04-01,3,-4.28,3.56,-11.26,2.71,-1.89,-8.31,-12.94,-3.68,20,1262
"full","Bush 41",1989-01-20,1989-05-01,4,-7.6,3.48,-14.43,-0.77,-5.14,-5.71,-10.34,-1.09,21,1423
"full","Bush 41",1989-01-20,1989-06-01,5,-1.73,3.48,-8.56,5.1,0.73,-5.75,-10.38,-1.13,21,1216
"full","Bush 41",1989-01-20,1989-07-01,6,-5.38,3.56,-12.36,1.61,-2.78,-7.17,-11.79,-2.54,20,1115
"full","Bush 41",1989-01-20,1989-08-01,7,-14.99,3.65,-22.14,-7.84,-12.34,-8.62,-13.24,-3.99,19,869
"full","Bush 41",1989-01-20,1989-09-01,8,-5.73,3.48,-12.56,1.1,-3.02,-10.06,-14.69,-5.44,21,1353
"full","Bush 41",1989-01-20,1989-10-01,9,-12.91,3.48,-19.74,-6.08,-10.28,-8.72,-13.35,-4.1,21,1098
"full","Bush 41",1989-01-20,1989-11-01,10,-7.27,3.41,-13.95,-0.59,-4.69,-7.3,-11.92,-2.67,22,1198
"full","Bush 41",1989-01-20,1989-12-01,11,-1.85,3.41,-8.53,4.83,0.73,-6.26,-10.89,-1.63,22,1146
"full","Bush 41",1989-01-20,1990-01-01,12,-8.5,3.48,-15.33,-1.67,-5.99,-5.46,-10.09,-0.84,21,1260
"full","Bush 41",1989-01-20,1990-02-01,13,-3.93,3.48,-10.76,2.9,-1.41,-6.35,-10.98,-1.72,21,1189
"full","Bush 41",1989-01-20,1990-03-01,14,-8.14,3.56,-15.12,-1.15,-5.48,-6.91,-11.54,-2.28,20,1019
"full","Bush 41",1989-01-20,1990-04-01,15,-7.7,3.48,-14.53,-0.87,-5.18,-7.34,-11.96,-2.71,21,897
"full","Bush 41",1989-01-20,1990-05-01,16,-7.38,3.56,-14.36,-0.4,-4.82,-8.31,-12.94,-3.69,20,1327
"full","Bush 41",1989-01-20,1990-06-01,17,-7.52,3.48,-14.35,-0.69,-5,-10.03,-14.66,-5.4,21,1034
