title,outlet,media_url,media_name,publish_date,url,language,date,debate_performance
"Trump pushes his $5,000 'dividend' pledge. Republican candidates, not as much",ABC News,abcnews.go.com,abcnews.go.com,2026-09-18,https://abcnews.com/Politics/wireStory/trump-pushes-5000-dividend-pledge-gop-wins-midterms-136554518,en,2026-09-18,
"Trump sanctions , inflation and a collapsing economy leaves Iran sick exposed",CNN,cnn.com,cnn.com,2026-09-20,https://us.cnn.com/2026/09/20/middleeast/trump-iran-sanctions-inflation-sick-intl,en,2026-09-20,
Trump tariffs flop with working - class voters,CNN,cnn.com,cnn.com,2026-09-20,https://us.cnn.com/2026/09/20/politics/trump-tariffs-working-class,en,2026-09-20,
Smithsonian faces Trump culture war as search for leader is on,CNN,cnn.com,cnn.com,2026-09-20,https://us.cnn.com/2026/09/20/politics/smithsonian-leader-trump,en,2026-09-20,
Trump UN ambassador defends press ban as news outlets prepare legal challenges,CNN,cnn.com,cnn.com,2026-09-20,https://us.cnn.com/2026/09/20/media/trump-cnn-msnow-politico-ban-waltz-first-amendment,en,2026-09-20,
Mayor Mamdani to meet with President Trump in NYC on Monday,CNN,cnn.com,cnn.com,2026-09-20,https://us.cnn.com/2026/09/20/politics/mamdani-trump-nyc-meeting,en,2026-09-20,
Denmark says Greenland sovereignty safe under Trump's deal,Reuters,reuters.com,reuters.com,2026-09-20,https://news.google.com/rss/articles/CBMipwFBVV95cUxQUUswdG5RR3A3czVTQV82SzUwWDh1ZDZrYjNXcld1cUQwOW9nZENwVlhQRVpfMXRQY2RXZ1pLcVlnal9jeGJxelREVVpWeTZyTTI2bnJKUXlIYUNtNklZQnkyWHNPX1NzZ1lIRVB2SVFfWkJTWkg4ZFM5WE5rdTVISldEczdQX1BIdkRyd21lYVhibzVLRkwwOGVIWXdfODNPRzloNWhEWQ?oc=5,en,2026-09-20,
DOJ announces $1.7B 'Anti-Weaponization Fund' as part of Trump IRS lawsuit settlement,ABC News,abcnews.go.com,abcnews.go.com,2026-09-21,https://news.google.com/rss/articles/CBMikgFBVV95cUxPR2xIOWQzVk9YNXYzWFVuWlMtR2N4LVMzaEN2TzlzdVpEeGRlc29QZnk5M0FzRnhwMGlRNmpUY3hqdmN3NU82bElvZjBWTXhkUUZTaGpyT2p1NHZfQml6Tkw4YWZCZU5QRXU4eFNDbXFIMXQ4cjhMWWQ5NmZ3NzBaVVc3R1pseF9uc3lhakx5N1dEd9IBlwFBVV95cUxNdXJEaXgxSWtFN3hWbURJQjFaUDlkVURpc2NWQjQzOGtuaU1ZVVQxcTdHYmZYOFdlbkVoZk9XZ2x0SlJDSmxkcm5SY3VkQVZWUmpXdHBYZVpfUlNHUXlsLXB3UGRvcWRGNGRLSWZDeGg3WUZ0U1ZvQ2hVdUdmM1Bqd3BDTTVoMW1remVpNThZci1sVUZPTE04?oc=5,en,2026-09-21,
Trump cancels signing of bipartisan housing bill until his SAVE America Act is passed,ABC News,abcnews.go.com,abcnews.go.com,2026-09-21,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQZ05DS3BxSjRwaEhnWFlueEd1MjhnZWgwRk1hRnoyNlRndi1uMTJaclVWbTJ3M1JTVEEzTHpTVXpDQjZDcG5tVDdvM1UyRld6ZWp4YUFPZzNmNERsM2xSdG5lbzVnWktPSXoxTTB6eVM4bEEzbjVHY3Jla2FDUk5fZkpJbXZubXNwN2RoY3poSTZwMDI0OHZDbW1yVWFPRG9aVmtnRnNVVFlFQdIBrwFBVV95cUxNU0RTa0hHSzdfcGJHNXgyRTVYMmI5NjBEaXRjTl9OZ2lNcnJHMGdDSlIzMUkzZHQzNUViZWxfMDhXYklkSi1wR3EyZ2h6eDlUOEs2OTBYa1VFbmlFQWpMRjNNaHlhN0EwamhLREt6WW84RF95Vndxdk04anNETEhfN3BjTzZaOFp0UVNDeGlHcHQtTVpUbl9mUzJ1RDFNVFZhejQ4dmJEUjhjZlFPNDk0?oc=5,en,2026-09-21,
Trump says 'no interest' in Kennedy Center overhaul after judge orders his name removed,ABC News,abcnews.go.com,abcnews.go.com,2026-09-21,https://news.google.com/rss/articles/CBMinwFBVV95cUxNVmdiUzJlMThpWlYwMUl2WkpaaFVSR0w2RVREX2RvX1Y2QTBoTmNLSTdVNElFaGNkbzBsa1RaRjZKRWxta1Q3TGtvSjhsaFU4amxfeWFrMVd5TEg5S3dFVGdJdUpnUElDaER3Nmhwa3pzQ2p5VU5DMF9teWNLODVZWkQ0Uk9EMC1yZVY4SDA1Um9Tc093R19PaFFfSUctNXPSAaQBQVVfeXFMTjMweWJ4Y2JKZUdabDZBbGZxQldhUzR2ZS1nS0VUSkhIVEJ2ckVDVElyeThibzUtS0JmMjFBOUFDVzBIVEhMOTFfb1A0TVEzTmozVThvMVlablZYYl9TTkl3WURRTHlpODVQTkVPUHd3aGxrVUN5bTlSVGtieXEzY1VlSkZyWkpNYTRwZGhIaHdEMmF5YzJMVHNaZjYyc0tINEhWTVI?oc=5,en,2026-09-21,
Trump claims fallen soldiers said 'we cannot let Iran have a nuclear weapon',ABC News,abcnews.go.com,abcnews.go.com,2026-09-21,https://news.google.com/rss/articles/CBMipAFBVV95cUxNQjg5NHl4dWUyQ0JyWnVDQ2dkbHFxaGgycjRNcy1OYktOQXlaLUxqWk1aT2ZEdlVoWm9TakEwSXA3aTAwTmFjdXZOZEhHdzE2WVZOMzBXaHZvMU9FYzBqZ25Fb1hXbHBEdVcxWTZ6OG5xcmIzUEhhdkp3VEUxai11c09GZDctSVVaQUhsblhYUThGYWRwem91bE4yWU96QWJlcC1OMtIBqgFBVV95cUxQeDZUX3JYWnNEUjl0OXJpMmhodjg4TVFmbkg5UmxOMjdMRTFsOXVGUUFfbExtUWx6T1JOLTBBTDhwaTNMRzZ5REtCWHcyXzNjMlAyUU5yWlJpTkZwZnBJWXl1OXpBUGhMb1ZZd3dVNnhpbWQtVjc0U096VlVpM0d0dldmckpZVTZGVXd2VW02VnM1VWNyX3RwZGhpWU1jZ3hZWUxncGI1RW8xZw?oc=5,en,2026-09-21,
