"week","topic","count_news","count_tv","total_news","total_tv","share_news","share_tv"
2024-12-30,"crime",62,412,1114,3390,5.57,12.15
2025-01-06,"crime",172,748,3257,6160,5.28,12.14
2025-01-13,"crime",49,460,3948,9515,1.24,4.83
2025-01-20,"crime",68,558,5886,14146,1.16,3.94
2025-01-27,"crime",119,701,4515,8736,2.64,8.02
2025-02-03,"crime",105,621,5351,11175,1.96,5.56
2025-02-10,"crime",87,502,5045,10700,1.72,4.69
2025-02-17,"crime",86,458,4302,11303,2,4.05
2025-02-24,"crime",63,318,4110,10697,1.53,2.97
2025-03-03,"crime",42,245,5300,12909,0.79,1.9
2025-03-10,"crime",49,362,3469,9988,1.41,3.62
2025-03-17,"crime",67,293,3360,8907,1.99,3.29
2025-03-24,"crime",38,165,4131,7668,0.92,2.15
2025-03-31,"crime",47,135,5002,11302,0.94,1.19
2025-04-07,"crime",53,198,5491,10489,0.97,1.89
2025-04-14,"crime",43,280,4297,9000,1,3.11
2025-04-21,"crime",58,173,4305,8479,1.35,2.04
2025-04-28,"crime",35,248,4617,11568,0.76,2.14
2025-05-05,"crime",37,124,4371,7311,0.85,1.7
2025-05-12,"crime",65,233,4174,8240,1.56,2.83
2025-05-19,"crime",55,235,4029,7667,1.37,3.07
2025-05-26,"crime",48,237,3661,9558,1.31,2.48
2025-06-02,"crime",65,357,4226,9440,1.54,3.78
2025-06-09,"crime",47,408,4209,9383,1.12,4.35
2025-06-16,"crime",30,188,3851,10113,0.78,1.86
2025-06-23,"crime",49,191,3992,9423,1.23,2.03
2025-06-30,"crime",49,130,3448,8305,1.42,1.57
2025-07-07,"crime",60,473,4020,8115,1.49,5.83
2025-07-14,"crime",69,714,3960,12396,1.74,5.76
2025-07-21,"crime",103,703,3635,10593,2.83,6.64
2025-07-28,"crime",49,355,4071,8113,1.2,4.38
2025-08-04,"crime",119,680,3567,8920,3.34,7.62
2025-08-11,"crime",164,1065,4017,13211,4.08,8.06
2025-08-18,"crime",182,1082,3578,11021,5.09,9.82
2025-08-25,"crime",123,939,3357,7801,3.66,12.04
2025-09-01,"crime",103,692,3304,8677,3.12,7.98
2025-09-08,"crime",104,533,3390,7518,3.07,7.09
2025-09-15,"crime",124,530,3745,8041,3.31,6.59
2025-09-22,"crime",179,1211,4028,9578,4.44,12.64
2025-09-29,"crime",75,433,3300,8411,2.27,5.15
2025-10-06,"crime",103,933,3256,9624,3.16,9.69
2025-10-13,"crime",79,632,3791,9977,2.08,6.33
2025-10-20,"crime",73,623,3568,9207,2.05,6.77
2025-10-27,"crime",55,250,3600,8423,1.53,2.97
2025-11-03,"crime",46,222,3477,8981,1.32,2.47
