"week","outlet","total_segments","n_positive","n_negative","n_neutral","pct_positive","pct_negative","pci","eligible","smooth_pci","smooth_pci_lo","smooth_pci_hi","smooth_neg","smooth_neg_lo","smooth_neg_hi"
2024-12-30,"ABC News",75,4,10,61,5.33,13.33,-8,TRUE,-11.06,-15.22,-6.89,16.63,13.27,19.99
2025-01-06,"ABC News",201,10,48,143,4.98,23.88,-18.9,TRUE,-11.6,-15.1,-8.09,17.23,14.4,20.06
2025-01-13,"ABC News",315,21,47,247,6.67,14.92,-8.25,TRUE,-12.09,-15.04,-9.13,17.78,15.4,20.17
2025-01-20,"ABC News",309,19,48,242,6.15,15.53,-9.38,TRUE,-12.52,-15.05,-9.98,18.27,16.23,20.32
2025-01-27,"ABC News",245,13,39,193,5.31,15.92,-10.61,TRUE,-12.89,-15.13,-10.65,18.71,16.9,20.51
2025-02-03,"ABC News",306,17,73,216,5.56,23.86,-18.3,TRUE,-13.21,-15.28,-11.15,19.08,17.42,20.75
2025-02-10,"ABC News",334,23,77,234,6.89,23.05,-16.16,TRUE,-13.49,-15.48,-11.5,19.41,17.8,21.01
2025-02-17,"ABC News",305,23,54,228,7.54,17.7,-10.16,TRUE,-13.71,-15.71,-11.72,19.68,18.07,21.29
2025-02-24,"ABC News",316,13,70,233,4.11,22.15,-18.04,TRUE,-13.89,-15.92,-11.85,19.89,18.25,21.54
2025-03-03,"ABC News",348,18,68,262,5.17,19.54,-14.37,TRUE,-14.01,-16.08,-11.93,20.05,18.37,21.73
2025-03-10,"ABC News",317,22,58,237,6.94,18.3,-11.36,TRUE,-14.08,-16.2,-11.95,20.15,18.44,21.87
2025-03-17,"ABC News",310,18,56,236,5.81,18.06,-12.25,TRUE,-14.11,-16.28,-11.94,20.21,18.47,21.96
2025-03-24,"ABC News",293,12,48,233,4.1,16.38,-12.28,TRUE,-14.06,-16.25,-11.88,20.19,18.42,21.95
2025-03-31,"ABC News",295,19,79,197,6.44,26.78,-20.34,TRUE,-13.93,-16.17,-11.7,20.07,18.27,21.87
2025-04-07,"ABC News",285,20,58,207,7.02,20.35,-13.33,TRUE,-13.8,-16.07,-11.52,19.95,18.11,21.78
