"week","pci_raw","n_groups_total","total_segments","n_groups_used","pci","pci_se","pct_positive","pct_negative","pci_lo","pci_hi","smooth_pci","smooth_pci_lo","smooth_pci_hi","smooth_neg","smooth_neg_lo","smooth_neg_hi"
2024-12-30,-10,11,1113,11,-10.29,1.31,6.11,16.4,-12.86,-7.72,-11.81,-13.93,-9.69,18.59,16.85,20.33
2025-01-06,-13.82,11,3256,11,-14.11,1.31,7.09,21.2,-16.68,-11.54,-12.3,-14.19,-10.41,19.04,17.49,20.59
2025-01-13,-8.66,11,3947,11,-8.95,1.31,7.85,16.8,-11.52,-6.38,-12.77,-14.46,-11.08,19.46,18.08,20.85
2025-01-20,-8.45,11,5885,11,-8.74,1.31,7.4,16.14,-11.31,-6.17,-13.2,-14.71,-11.7,19.86,18.62,21.1
2025-01-27,-14.08,11,4513,11,-14.37,1.31,5.99,20.37,-16.94,-11.8,-13.59,-14.95,-12.24,20.22,19.1,21.33
2025-02-03,-16.72,11,5347,11,-17.01,1.31,6.32,23.33,-19.58,-14.44,-13.93,-15.16,-12.71,20.53,19.52,21.54
2025-02-10,-15.61,11,5041,11,-15.9,1.31,7.36,23.26,-18.47,-13.33,-14.23,-15.36,-13.1,20.81,19.88,21.74
2025-02-17,-13.82,11,4301,11,-14.11,1.31,7.09,21.2,-16.68,-11.54,-14.48,-15.54,-13.42,21.05,20.18,21.92
2025-02-24,-14.31,11,4109,11,-14.6,1.31,6.95,21.56,-17.17,-12.03,-14.7,-15.71,-13.69,21.26,20.43,22.09
2025-03-03,-15.8,11,5297,11,-16.09,1.31,5.73,21.82,-18.66,-13.52,-14.88,-15.87,-13.9,21.44,20.62,22.25
2025-03-10,-17.66,11,3467,11,-17.95,1.31,5.72,23.67,-20.52,-15.38,-15.04,-16.02,-14.06,21.59,20.78,22.4
2025-03-17,-15.17,11,3360,10,-14.5,1.37,5.31,19.81,-17.19,-11.81,-15.18,-16.16,-14.19,21.72,20.91,22.53
2025-03-24,-15.55,11,4129,11,-15.84,1.31,5.24,21.08,-18.41,-13.27,-15.27,-16.27,-14.27,21.82,20.99,22.64
2025-03-31,-22.73,11,5000,11,-23.02,1.31,5.79,28.81,-25.59,-20.45,-15.31,-16.33,-14.3,21.87,21.03,22.7
2025-04-07,-16.93,11,5487,11,-17.22,1.31,7.69,24.91,-19.79,-14.65,-15.32,-16.35,-14.29,21.88,21.04,22.73
2025-04-14,-17.61,11,4295,11,-17.9,1.31,4.96,22.87,-20.47,-15.33,-15.3,-16.35,-14.25,21.88,21.02,22.74
2025-04-21,-16.12,11,4302,11,-16.41,1.31,5.52,21.93,-18.98,-13.84,-15.26,-16.32,-14.2,21.85,20.98,22.72
2025-04-28,-13.81,11,4614,11,-14.1,1.31,7.36,21.46,-16.67,-11.53,-15.22,-16.3,-14.15,21.81,20.93,22.7
2025-05-05,-11.86,11,4369,11,-12.15,1.31,6.98,19.13,-14.72,-9.58,-15.1,-16.18,-14.02,21.71,20.82,22.6
2025-05-12,-12.53,11,4172,11,-12.82,1.31,7.12,19.94,-15.39,-10.25,-14.84,-15.92,-13.75,21.51,20.62,22.4
2025-05-19,-14.12,11,4025,11,-14.41,1.31,7.09,21.5,-16.98,-11.84,-14.52,-15.63,-13.42,21.26,20.36,22.17
2025-05-26,-15.41,11,3659,11,-15.7,1.31,6.52,22.22,-18.27,-13.13,-14.22,-15.35,-13.09,21.02,20.09,21.95
2025-06-02,-13.46,11,4225,11,-13.75,1.31,6.04,19.79,-16.32,-11.18,-14,-15.15,-12.86,20.83,19.89,21.77
2025-06-09,-11.86,11,4207,11,-12.15,1.31,5.35,17.5,-14.72,-9.58,-13.84,-14.97,-12.71,20.66,19.73,21.59
2025-06-16,-12.93,11,3847,11,-13.22,1.31,6.92,20.14,-15.79,-10.65,-13.66,-14.77,-12.55,20.45,19.54,21.36
2025-06-23,-12.06,11,3988,11,-12.35,1.31,7.92,20.27,-14.92,-9.78,-13.47,-14.57,-12.38,20.23,19.33,21.13
2025-06-30,-9.15,11,3448,11,-9.44,1.31,9.85,19.29,-12.01,-6.87,-13.29,-14.4,-12.19,20.01,19.1,20.92
2025-07-07,-13.55,11,4018,11,-13.84,1.31,6.28,20.13,-16.41,-11.27,-13.13,-14.26,-12,19.81,18.88,20.74
2025-07-14,-15.01,11,3957,11,-15.3,1.31,6.55,21.85,-17.87,-12.73,-13.01,-14.15,-11.87,19.65,18.71,20.59
2025-07-21,-10.84,11,3632,11,-11.13,1.31,7.57,18.71,-13.7,-8.56,-12.95,-14.07,-11.82,19.53,18.61,20.46
2025-07-28,-15.19,11,4068,11,-15.48,1.31,6.65,22.13,-18.05,-12.91,-12.95,-14.06,-11.84,19.45,18.54,20.36
2025-08-04,-13.27,11,3564,11,-13.56,1.31,5.48,19.04,-16.13,-10.99,-12.98,-14.09,-11.87,19.38,18.47,20.29
2025-08-11,-12.45,11,4015,11,-12.74,1.31,6.9,19.64,-15.31,-10.17,-13.01,-14.14,-11.88,19.31,18.39,20.24
2025-08-18,-9.99,11,3575,11,-10.28,1.31,6.85,17.13,-12.85,-7.71,-13,-14.14,-11.86,19.23,18.3,20.17
2025-08-25,-15.41,11,3355,11,-15.7,1.31,4.81,20.52,-18.27,-13.13,-12.96,-14.09,-11.83,19.14,18.22,20.07
2025-09-01,-13.36,11,3303,11,-13.65,1.31,5.76,19.42,-16.22,-11.08,-12.93,-14.04,-11.83,19.05,18.14,19.96
2025-09-08,-15.27,11,3389,11,-15.56,1.31,4.27,19.84,-18.13,-12.99,-12.92,-14.01,-11.82,18.96,18.06,19.86
2025-09-15,-11.55,11,3742,11,-11.84,1.31,5.06,16.89,-14.41,-9.27,-12.9,-14,-11.79,18.88,17.97,19.79
2025-09-22,-12.94,11,4026,11,-13.23,1.31,4.57,17.8,-15.8,-10.66,-12.87,-14,-11.75,18.8,17.87,19.72
2025-09-29,-12.37,11,3297,11,-12.66,1.31,6.74,19.41,-15.23,-10.09,-12.84,-13.98,-11.7,18.72,17.78,19.66
2025-10-06,-12.32,11,3255,11,-12.61,1.31,6,18.61,-15.18,-10.04,-12.75,-13.88,-11.62,18.62,17.69,19.55
2025-10-13,-11.7,11,3790,11,-11.99,1.31,5.26,17.25,-14.56,-9.42,-12.62,-13.73,-11.51,18.49,17.58,19.4
2025-10-20,-9.72,11,3568,11,-10.01,1.31,7.5,17.51,-12.58,-7.44,-12.47,-13.58,-11.36,18.36,17.44,19.27
2025-10-27,-11.74,11,3597,11,-12.03,1.31,7.39,19.42,-14.6,-9.46,-12.35,-13.47,-11.22,18.25,17.32,19.18
2025-11-03,-12.54,11,3474,11,-12.83,1.31,7.65,20.48,-15.4,-10.26,-12.28,-13.42,-11.14,18.19,17.25,19.13
2025-11-10,-12.85,11,3416,11,-13.14,1.31,4.71,17.86,-15.71,-10.57,-12.26,-13.38,-11.13,18.17,17.24,19.1
2025-11-17,-13.6,11,3737,11,-13.89,1.31,5.66,19.55,-16.46,-11.32,-12.22,-13.32,-11.11,18.16,17.25,19.07
2025-11-24,-13.54,11,2352,11,-13.83,1.31,4.93,18.76,-16.4,-11.26,-12.19,-13.28,-11.09,18.17,17.26,19.07
2025-12-01,-10.72,11,3081,11,-11.01,1.31,6.3,17.32,-13.58,-8.44,-12.17,-13.28,-11.06,18.19,17.28,19.1
2025-12-08,-13.66,11,3314,11,-13.95,1.31,6.18,20.14,-16.52,-11.38,-12.18,-13.31,-11.05,18.23,17.3,19.16
