"week","network","total_segments","n_positive","n_negative","n_neutral","pct_positive","pct_negative","pci","eligible","smooth_pci","smooth_pci_lo","smooth_pci_hi","smooth_neg","smooth_neg_lo","smooth_neg_hi"
2024-12-30,"ABC",65,2,14,49,3.08,21.54,-18.46,TRUE,-8.42,-14.21,-2.63,17.14,12.04,22.25
2025-01-06,"ABC",115,12,18,85,10.43,15.65,-5.22,TRUE,-9.06,-14.2,-3.92,17.65,13.11,22.18
2025-01-13,"ABC",145,17,23,105,11.72,15.86,-4.14,TRUE,-9.66,-14.22,-5.1,18.12,14.1,22.14
2025-01-20,"ABC",247,28,45,174,11.34,18.22,-6.88,TRUE,-10.22,-14.27,-6.16,18.55,14.97,22.13
2025-01-27,"ABC",160,3,15,142,1.88,9.38,-7.5,TRUE,-10.73,-14.36,-7.1,18.94,15.74,22.14
2025-02-03,"ABC",262,19,53,190,7.25,20.23,-12.98,TRUE,-11.2,-14.49,-7.9,19.28,16.37,22.18
2025-02-10,"ABC",267,27,53,187,10.11,19.85,-9.74,TRUE,-11.61,-14.64,-8.58,19.56,16.89,22.24
2025-02-17,"ABC",177,20,55,102,11.3,31.07,-19.77,TRUE,-11.98,-14.84,-9.13,19.8,17.29,22.32
2025-02-24,"ABC",146,14,14,118,9.59,9.59,0,TRUE,-12.31,-15.05,-9.56,20.01,17.58,22.43
2025-03-03,"ABC",144,11,32,101,7.64,22.22,-14.58,TRUE,-12.6,-15.3,-9.9,20.17,17.79,22.55
2025-03-10,"ABC",179,13,52,114,7.26,29.05,-21.79,TRUE,-12.85,-15.55,-10.15,20.31,17.93,22.69
2025-03-17,"ABC",157,10,30,117,6.37,19.11,-12.74,TRUE,-13.07,-15.8,-10.34,20.41,18.01,22.82
2025-03-24,"ABC",130,11,28,91,8.46,21.54,-13.08,TRUE,-13.24,-16.01,-10.47,20.47,18.03,22.91
2025-03-31,"ABC",172,11,46,115,6.4,26.74,-20.34,TRUE,-13.37,-16.18,-10.56,20.48,18,22.96
2025-04-07,"ABC",212,24,39,149,11.32,18.4,-7.08,TRUE,-13.46,-16.32,-10.61,20.46,17.95,22.98
2025-04-14,"ABC",183,10,35,138,5.46,19.13,-13.67,TRUE,-13.52,-16.42,-10.62,20.42,17.86,22.98
2025-04-21,"ABC",133,9,34,90,6.77,25.56,-18.79,TRUE,-13.54,-16.48,-10.61,20.36,17.77,22.95
2025-04-28,"ABC",141,10,30,101,7.09,21.28,-14.19,TRUE,-13.49,-16.44,-10.53,20.21,17.6,22.82
2025-05-05,"ABC",82,4,15,63,4.88,18.29,-13.41,TRUE,-13.33,-16.31,-10.36,19.93,17.31,22.55
2025-05-12,"ABC",140,8,18,114,5.71,12.86,-7.15,TRUE,-13.12,-16.14,-10.09,19.59,16.92,22.25
2025-05-19,"ABC",139,14,26,99,10.07,18.71,-8.64,TRUE,-12.88,-15.97,-9.79,19.25,16.52,21.97
2025-05-26,"ABC",169,3,38,128,1.78,22.49,-20.71,TRUE,-12.66,-15.79,-9.53,18.97,16.21,21.73
2025-06-02,"ABC",211,8,46,157,3.79,21.8,-18.01,TRUE,-12.41,-15.5,-9.31,18.71,15.98,21.43
2025-06-09,"ABC",188,6,36,146,3.19,19.15,-15.96,TRUE,-12.08,-15.11,-9.06,18.4,15.73,21.07
2025-06-16,"ABC",148,5,21,122,3.38,14.19,-10.81,TRUE,-11.71,-14.71,-8.72,18.07,15.43,20.71
2025-06-23,"ABC",168,13,26,129,7.74,15.48,-7.74,TRUE,-11.32,-14.35,-8.3,17.74,15.07,20.41
2025-06-30,"ABC",162,35,24,103,21.6,14.81,6.79,TRUE,-10.95,-14.04,-7.86,17.44,14.71,20.17
2025-07-07,"ABC",115,2,18,95,1.74,15.65,-13.91,TRUE,-10.62,-13.75,-7.49,17.19,14.43,19.95
2025-07-14,"ABC",209,9,42,158,4.31,20.1,-15.79,TRUE,-10.26,-13.35,-7.17,16.94,14.21,19.67
2025-07-21,"ABC",202,12,33,157,5.94,16.34,-10.4,TRUE,-9.82,-12.86,-6.77,16.67,13.99,19.35
2025-07-28,"ABC",155,9,35,111,5.81,22.58,-16.77,TRUE,-9.35,-12.4,-6.31,16.41,13.73,19.09
