"week","total_segments","pct_positive","pct_negative","net_score","smooth_net","smooth_net_lo","smooth_net_hi","smooth_neg","smooth_neg_lo","smooth_neg_hi"
2024-12-30,1574,9.87,17.86,-7.99,-7,-10.34,-3.66,18.33,15.62,21.04
2025-01-06,3325,11.33,22.15,-10.82,-8.04,-10.96,-5.13,19.31,16.94,21.67
2025-01-13,5012,11.97,16.71,-4.74,-9.02,-11.56,-6.47,20.22,18.16,22.29
2025-01-20,6971,13.72,19.04,-5.32,-9.92,-12.15,-7.68,21.06,19.25,22.88
2025-01-27,4416,8.72,19.48,-10.76,-10.73,-12.71,-8.74,21.82,20.21,23.43
2025-02-03,5877,9.86,24.96,-15.1,-11.44,-13.24,-9.65,22.48,21.03,23.94
2025-02-10,5622,11.81,22.46,-10.65,-12.08,-13.75,-10.41,23.07,21.72,24.42
2025-02-17,5743,11.97,27.59,-15.62,-12.64,-14.23,-11.05,23.59,22.3,24.88
2025-02-24,5356,12.66,21.77,-9.11,-13.13,-14.7,-11.57,24.04,22.77,25.31
2025-03-03,5770,11.25,25.4,-14.15,-13.57,-15.14,-12,24.44,23.16,25.71
2025-03-10,5306,11,29.31,-18.31,-13.91,-15.51,-12.32,24.75,23.46,26.04
2025-03-17,4441,9.08,24.91,-15.83,-14.17,-15.79,-12.55,24.98,23.66,26.29
2025-03-24,3537,8.31,24,-15.69,-14.35,-16,-12.7,25.13,23.79,26.47
2025-03-31,4846,11.51,27.44,-15.93,-14.47,-16.15,-12.8,25.23,23.87,26.59
2025-04-07,5138,14.61,24.94,-10.33,-14.56,-16.27,-12.86,25.3,23.92,26.69
2025-04-14,4267,8.16,27.32,-19.16,-14.52,-16.24,-12.81,25.25,23.86,26.64
2025-04-21,4162,8.2,28.96,-20.76,-14.32,-16.05,-12.58,25.03,23.62,26.44
2025-04-28,5426,12.68,28.38,-15.7,-14.05,-15.82,-12.28,24.76,23.32,26.19
2025-05-05,2993,10.21,20.56,-10.35,-13.83,-15.62,-12.03,24.53,23.08,25.99
2025-05-12,4070,12.01,21.73,-9.72,-13.53,-15.3,-11.76,24.27,22.84,25.71
2025-05-19,3575,12.44,23.41,-10.97,-13.05,-14.79,-11.32,23.87,22.46,25.27
2025-05-26,4824,9.52,23.25,-13.73,-12.52,-14.25,-10.79,23.42,22.01,24.82
2025-06-02,4269,8.39,23.03,-14.64,-12.05,-13.81,-10.28,23.01,21.57,24.44
2025-06-09,3648,7.27,22.36,-15.09,-11.75,-13.55,-9.96,22.73,21.28,24.19
2025-06-16,3914,10.13,21.11,-10.98,-11.62,-13.39,-9.85,22.57,21.14,24.01
2025-06-23,3590,15.61,21.71,-6.1,-11.55,-13.28,-9.82,22.44,21.04,23.85
2025-06-30,3579,17.27,20.92,-3.65,-11.5,-13.24,-9.77,22.33,20.93,23.74
2025-07-07,3372,8.71,21.23,-12.52,-11.46,-13.23,-9.69,22.23,20.79,23.66
2025-07-14,5685,10.53,20.48,-9.95,-11.4,-13.19,-9.61,22.11,20.66,23.57
2025-07-21,4771,8.71,20.91,-12.2,-11.36,-13.13,-9.59,22.01,20.57,23.44
2025-07-28,3338,11.25,25.11,-13.86,-11.39,-13.12,-9.65,21.94,20.53,23.35
2025-08-04,3837,10.8,25.47,-14.67,-11.45,-13.18,-9.71,21.89,20.49,23.3
2025-08-11,4608,9.54,20.44,-10.9,-11.51,-13.28,-9.74,21.87,20.43,23.3
2025-08-18,3361,10.68,22.38,-11.7,-11.56,-13.35,-9.76,21.85,20.39,23.3
2025-08-25,3340,9.52,24.52,-15,-11.6,-13.37,-9.83,21.84,20.4,23.27
2025-09-01,4018,10.32,27.83,-17.51,-11.67,-13.42,-9.92,21.84,20.42,23.26
2025-09-08,3318,10.62,19.41,-8.79,-11.75,-13.52,-9.97,21.86,20.42,23.29
2025-09-15,3242,7.5,18.5,-11,-11.81,-13.61,-10.02,21.88,20.42,23.33
2025-09-22,4345,8.47,20.8,-12.33,-11.82,-13.59,-10.05,21.89,20.46,23.33
2025-09-29,3062,7.99,20.68,-12.69,-11.77,-13.5,-10.04,21.89,20.49,23.3
2025-10-06,3591,13.44,19.82,-6.38,-11.7,-13.44,-9.97,21.89,20.49,23.3
2025-10-13,4405,12.23,15.24,-3.01,-11.66,-13.43,-9.89,21.91,20.47,23.34
2025-10-20,3751,9.15,22.9,-13.75,-11.68,-13.48,-9.89,21.95,20.5,23.41
2025-10-27,3790,10.8,25.24,-14.44,-11.8,-13.57,-10.03,22.07,20.64,23.5
2025-11-03,3807,13.39,26.84,-13.45,-11.99,-13.72,-10.26,22.26,20.86,23.67
2025-11-10,3702,8.05,22.76,-14.71,-12.21,-13.94,-10.47,22.49,21.08,23.9
2025-11-17,2926,9.64,22.7,-13.06,-12.42,-14.19,-10.65,22.7,21.27,24.14
2025-11-24,3143,10.06,23.85,-13.79,-12.59,-14.38,-10.79,22.85,21.39,24.3
2025-12-01,3000,10.37,20.34,-9.97,-12.8,-14.57,-11.03,22.99,21.55,24.42
2025-12-08,3724,11.7,24.45,-12.75,-13.12,-14.85,-11.38,23.17,21.77,24.58
2025-12-15,3170,9.25,24.33,-15.08,-13.45,-15.19,-11.72,23.37,21.96,24.78
2025-12-22,3493,9.71,22.19,-12.48,-13.74,-15.51,-11.97,23.53,22.09,24.96
2025-12-29,2864,10.89,22.34,-11.45,-13.89,-15.69,-12.1,23.6,22.15,25.06
2026-01-05,3669,10.17,22.92,-12.75,-13.87,-15.64,-12.1,23.51,22.07,24.95
2026-01-12,4107,8.08,21.82,-13.74,-13.74,-15.49,-11.99,23.28,21.86,24.7
2026-01-19,4053,10.15,26.77,-16.62,-13.58,-15.36,-11.81,23.05,21.61,24.48
2026-01-26,3480,7.73,23.82,-16.09,-13.51,-15.3,-11.71,22.92,21.47,24.38
2026-02-02,3360,8.63,24.22,-15.59,-13.46,-15.24,-11.69,22.88,21.44,24.32
2026-02-09,2865,8.59,24.1,-15.51,-13.38,-15.11,-11.64,22.8,21.4,24.21
2026-02-16,3242,9,27.51,-18.51,-13.28,-14.99,-11.56,22.74,21.35,24.13
2026-02-23,4092,9.56,19.18,-9.62,-13.2,-14.91,-11.49,22.71,21.32,24.09
2026-03-02,3672,11.48,18.8,-7.32,-13.18,-14.89,-11.48,22.74,21.36,24.13
2026-03-09,3165,9.59,19.85,-10.26,-13.2,-14.88,-11.52,22.84,21.48,24.2
2026-03-16,3727,9.87,21.59,-11.72,-13.22,-14.87,-11.57,22.95,21.61,24.28
2026-03-23,3521,11.25,21.57,-10.32,-13.24,-14.86,-11.62,23.07,21.76,24.39
2026-03-30,4357,9.48,22.9,-13.42,-13.27,-14.86,-11.68,23.22,21.93,24.52
2026-04-06,4229,10.33,22.81,-12.48,-13.32,-14.89,-11.75,23.4,22.12,24.67
2026-04-13,4299,11.38,23.4,-12.02,-13.38,-14.95,-11.82,23.59,22.32,24.86
2026-04-20,4441,7.82,27.47,-19.65,-13.45,-15.04,-11.86,23.81,22.51,25.1
2026-04-27,4291,6.64,20.28,-13.64,-13.53,-15.19,-11.86,24.04,22.69,25.39
2026-05-04,3671,14,25.34,-11.34,-13.62,-15.41,-11.82,24.3,22.84,25.76
2026-05-11,5153,11.71,24.64,-12.93,-13.72,-15.71,-11.74,24.59,22.98,26.2
2026-05-18,4642,13.17,29.76,-16.59,-13.86,-16.09,-11.62,24.91,23.1,26.72
2026-05-25,3897,13.23,26.25,-13.02,-14.01,-16.55,-11.46,25.26,23.19,27.32
2026-06-01,4268,9.57,27.88,-18.31,-14.17,-17.09,-11.26,25.63,23.27,28
2026-06-08,2984,10.04,20.87,-10.83,-14.35,-17.69,-11.01,26.03,23.33,28.74
